CPN,Part Name,Qty,Source,Mfg Part #,Price,Link
10-2001,Teensy 4.1 Development Board,1,AliExpress,TEENSY41,42.5,https://www.aliexpress.com/w/wholesale-Teensy-4.1-development-board.html
30-0001,TSP F35-p Rocket Engine (Pack of 2),1,SierraFox,F35-P,64,https://www.sierrafoxhobbies.com/en/2439-f35-p-single-use-tsp-29-mm-model-rocket-engine-2-pcs.html
20-0001,BMI088 Shuttle Board,1,Mouser,BMI088-SB,16.54,https://www.mouser.es/ProductDetail/Bosch-Sensortec/BMI088-Shuttle-Board-30
20-0002,MS5611 Barometric Pressure Sensor,1,ManoMano,MS5611-01BA03,7.87,https://www.manomano.es/componentes-electronicos-4189
20-0003,LoRa Module SX1278 (433MHz),1,AliExpress,SX1278,2.5,https://www.aliexpress.com/item/1005001593805902.html
30-0002,5V DC Motor (Hobby Type),1,AliExpress,Generic,1,https://www.aliexpress.com/w/wholesale-5v-dc-motor.html
30-0003,9g Micro Servo (SG90),1,AliExpress,SG90,1.5,https://www.aliexpress.com/item/32425569444.html
30-0004,5g Micro Servo (GH-S37D),1,AliExpress,GH-S37D,3.8,https://www.aliexpress.com/item/1005005335388228.html
10-2002,ESP32-WROOM-32 Dev Module,1,AliExpress,ESP32-WROOM,4.2,https://www.aliexpress.com/item/1005005704190069.html
20-0004,SX1276 LoRa Receiver (868MHz),1,AliExpress,SX1276,3.5,https://www.aliexpress.com/item/1005005291351005.html
20-0005,LoRa/RF Antenna (SMA 868MHz),1,AliExpress,Generic,2.8,https://www.aliexpress.com/item/1005002863723277.html
40-0001,Custom Carbon Fiber Tubes (Est.),1,Custom,Custom,70,N/A
